# time,flux,flux_err
2459840.817461,0.0094220944554768,0.005331473827362
2459840.827647,0.0088672672330914,0.0048192567825317
2459840.837902,0.0083610627950496,0.005017746925354
2459840.848412,0.0005464989096166,0.0052172217369079
2459840.858412,0.000219324552451,0.0048051681518554
2459840.868286,0.0080169386023008,0.0048704013824462
2459840.878668,0.0011727422446612,0.0049599275588989
2459840.888482,0.0032857245050494,0.0053191566467285
2459840.897777,0.007651637526446,0.0048280248641967
2459840.907627,0.0125440374532942,0.0047370533943176
2459840.917524,0.0185186533753427,0.0045507106781005
2459840.92669,0.0224229034199109,0.0045973768234252
2459840.936171,0.0258659697437158,0.0049816246032714
2459840.945592,0.0163759927864797,0.0049108667373657
2459840.95521,-0.0014576038174085,0.0049450454711914
2459840.964979,0.0287530271866781,0.0050695157051086
2459840.974447,0.0192571530128382,0.0050962419509887
2459840.983788,0.0065849062150521,0.0052405652999877
2459840.993036,-8.6845134790651e-06,0.004696090221405
2459841.002758,0.0131243967127195,0.0047302637100219
2459841.012516,-0.0071358791350788,0.0049231009483337
2459841.021961,-0.0087912387963586,0.0052112188339233
2459841.031499,-0.0035755865476626,0.0052207350730895
2459841.041522,-0.015716044813034,0.0050737280845642
2459841.051013,-0.0181007572708912,0.0050729646682739
2459841.061129,-0.03494118098106,0.0047222638130188
2459841.07084,-0.0407563468768255,0.005199523448944
2459841.080158,-0.0417822666807431,0.0053532299995422
2459841.090181,-0.047510086740615,0.0052796444892883
2459841.099789,-0.0542904370588456,0.0051078739166259
2459841.109233,-0.0514289152499463,0.0048718500137329
2459841.118365,-0.0605576663502919,0.0045385751724243
