#time,flux,flux_err
2459882.866647871,1.0055958033,0.0037737042
2459882.8680367656,1.0024529696,0.0037704136
2459882.86942566,1.009679198,0.0037702376
2459882.8708145544,1.008453131,0.0037680499
2459882.872203449,1.011493206,0.0037642599
2459882.873592343,1.00952208,0.0037647963
2459882.8749812376,1.0039178133,0.0037558419
2459882.876370132,1.0031912327,0.0037558004
2459882.8777590264,1.00820756,0.0037520581
2459882.8791479208,1.010264516,0.0037511324
2459882.880536815,1.005085945,0.0037447466
2459882.881925709,0.996508658,0.0037360946
2459882.883314604,1.0034308434,0.0037406047
2459882.8847034983,1.0017052889,0.003734116
2459882.8860923927,1.0053948164,0.003734566
2459882.887481287,1.0076464415,0.003732618
2459882.888870181,0.99961394072,0.003727175
2459882.890259076,1.003119111,0.0037268014
2459882.8916479703,1.004122019,0.0037240202
2459882.8930368647,1.0023114681,0.0037202775
2459882.894425759,1.0029957294,0.0037183308
2459882.895814653,1.0022993088,0.0037154316
2459882.897203548,1.005056739,0.0037115873
2459882.8985924423,1.010126948,0.0037126923
2459882.8999813367,1.0019687414,0.0037055612
2459882.901370231,1.0053982735,0.003710145
2459882.902759125,1.002614379,0.0037018263
2459882.90414802,1.0024878979,0.003699968
2459882.9055369142,0.9983216524,0.003695855
2459882.9069258086,1.0029295683,0.0036960954
2459882.908314703,1.0067356825,0.0036944163
2459882.9097035974,1.006098151,0.003692955
2459882.911092492,1.0018064976,0.0036887482
2459882.912481386,1.0011153221,0.0036893243
2459882.9138702806,1.00414896,0.003684388
2459882.915259175,1.00035071373,0.0036814993
2459882.9166480694,1.0028475523,0.0036802655
2459882.918036964,1.006996393,0.003680897
2459882.919425858,0.99980682135,0.0036747667
2459882.9208147526,1.0055636168,0.0036774985
2459882.922203647,1.0066109896,0.0036745707
2459882.9235925414,1.005856037,0.0036721574
2459882.924981436,1.003846407,0.0036693045
2459882.92637033,1.0059589148,0.0036701516
2459882.9277592245,1.005352378,0.003664457
2459882.929148119,1.00369215,0.0036646863
2459882.9305370133,1.0021338463,0.0036624337
2459882.931925908,1.0025860071,0.0036581866
2459882.933314802,1.0053464174,0.0036577063
2459882.9347036965,1.009268403,0.003658895
2459882.9360925904,1.0033943653,0.003653117
2459882.9374814853,1.003494501,0.0036497323
2459882.93887038,1.004917741,0.0036482408
2459882.9402592736,1.010511637,0.0036529263
2459882.9416481685,1.0076321363,0.0036484348
2459882.9430370624,1.005915642,0.0036489451
2459882.9444259573,0.996095419,0.0036398766
2459882.945814851,1.0028930902,0.003640575
2459882.9472037456,0.99955511093,0.0036373395
2459882.94859264,0.99974954128,0.003636875
2459882.9499815344,1.010068774,0.0036399246
2459882.951370429,1.004510641,0.0036366666
2459882.952759323,1.00034868717,0.0036337804
2459882.9541482176,1.0027725697,0.0036349404
2459882.955537112,1.010027528,0.0036319187
2459882.9569260064,0.9989421964,0.0036280176
2459882.9583149008,1.003827691,0.0036246146
2459882.959703795,1.0060973167,0.003626991
2459882.961092689,1.0047171116,0.0036277038
2459882.962481584,1.0033382177,0.0036256483
2459882.9638704783,1.00018644333,0.0036210173
2459882.9652593727,0.9983974099,0.0036187624
2459882.966648267,1.00199306,0.0036195174
2459882.968037161,0.9945848584,0.003612112
2459882.969426056,0.999911248684,0.0036169211
2459882.9708149503,1.0037240982,0.0036139062
2459882.9722038447,1.008963227,0.0036218213
2459882.973592739,1.007855415,0.0036146229
2459882.974981633,1.0024645329,0.0036101767
2459882.976370528,1.007451892,0.0036112426
2459882.977759422,0.99946933985,0.003606962
2459882.979148316,1.003150344,0.0036103625
2459882.9805372106,0.99939733744,0.0036056605
2459882.981926105,1.0047599077,0.0036073788
2459882.9833149994,0.9974620938,0.00360262
2459882.984703894,1.00071430206,0.003602421
2459882.986092788,1.0034378767,0.0036051848
2459882.9874816826,0.9986567497,0.0036023047
2459882.988870577,1.0022263527,0.0035983217
2459882.990259472,0.99973928928,0.0036013084
2459882.9916483657,0.99932801723,0.0036003704
2459882.99303726,1.0005041361,0.003599733
2459882.9944261545,1.0068626404,0.0036002533
2459882.995815049,1.0036292076,0.003599339
2459882.997203943,1.003886938,0.0035957873
2459882.9985928377,0.9977182746,0.0035942625
2459882.999981732,1.0009057522,0.0035967098
2459883.001370626,0.9965757132,0.0035910872
2459883.0027595204,0.99957299232,0.0035915568
2459883.004148415,1.001336813,0.0035945277
