# time,flux,flux_err
2459423.093788,0.0844357942579557,0.0065974617004394
2459442.102513,-0.1368604712812069,0.0067720394134521
2459447.07665,-0.0263086496975722,0.0071220712661743
2459449.108516,-0.0308137766776413,0.0064921388626098
2459457.094269,0.111597839053563,0.0065628080368042
2459472.913914,0.0220454004556894,0.0058947005271911
2459478.952801,0.0786026758042779,0.0063061952590942
2459481.927562,-0.0546159371473633,0.006607494354248
2459497.864869,0.145883070110519,0.0073093872070312
2459506.868942,-0.0981983954350218,0.0075037055015564
2459565.854158,0.0720965495333743,0.0079571185111999
2459631.73543,0.0679409256608958,0.0067465095520019
