#time,flux,flux_err
2459940.3477214132,1.0000707,0.0011325962
2459940.3491102727,0.9991855,0.0011311454
2459940.350499132,1.0020305,0.0011313974
2459940.3518879917,0.99878263,0.0011305134
2459940.353276851,1.0009813,0.0011306107
2459940.354665711,0.99921095,0.0011293275
2459940.3560545705,0.9993398,0.0011294207
2459940.35744343,0.9963671,0.0011283557
2459940.3588322895,1.0011156,0.0011289874
2459940.360221149,1.0012255,0.0011289765
2459940.3616100084,0.9989952,0.0011274846
2459940.362998868,1.0005946,0.0011284514
2459940.3643877273,0.9997647,0.0011272997
2459940.3657765873,0.99745256,0.0011262367
2459940.3671654467,0.99939126,0.0011260494
2459940.368554306,0.9985975,0.0011258369
2459940.3699431657,1.0003374,0.0011256089
2459940.371332025,0.99905163,0.0011253001
2459940.3727208846,1.0002818,0.0011249835
2459940.374109744,0.9996095,0.001124335
2459940.375498604,0.99787813,0.0011237591
2459940.3768874635,0.9984988,0.0011236885
2459940.378276323,0.9967038,0.0011226847
2459940.3796651824,0.99971384,0.0011235202
2459940.381054042,0.99978125,0.0011232806
2459940.3824429014,0.99972475,0.0011230429
2459940.383831761,0.9982011,0.0011226038
2459940.385220621,0.9993155,0.0011226288
2459940.3866094803,0.99908614,0.0011216061
2459940.3879983397,0.9997132,0.0011217883
2459940.389387199,0.99831074,0.0011215915
2459940.3907760587,0.9998097,0.0011211988
2459940.3921649186,0.99891514,0.0011206213
2459940.393553778,0.998071,0.0011201462
2459940.3949426375,1.0001987,0.0011203217
2459940.396331497,0.9981867,0.0011196466
2459940.3977203565,0.9988742,0.0011197724
2459940.399109216,0.99928796,0.0011195781
2459940.400498076,0.9993441,0.0011192735
2459940.4018869353,1.0000547,0.0011200996
2459940.403275795,0.9998619,0.0011191011
2459940.4046646543,0.9988782,0.0011189415
2459940.4060535138,1.0002644,0.001118749
2459940.4074423737,1.0009643,0.0011186999
2459940.408831233,1.0007685,0.0011191777
2459940.4102200926,0.9970681,0.0011168452
2459940.411608952,0.9984711,0.0011174969
2459940.412997812,0.99973357,0.0011178846
2459940.4143866715,1.000993,0.0011179221
2459940.415775531,1.0000526,0.0011176481
2459940.4171643904,0.99955034,0.0011174044
2459940.41855325,0.99915034,0.0011174494
2459940.41994211,1.001074,0.0011178253
2459940.4213309693,0.999646,0.0011173442
2459940.422719829,1.0000811,0.0011176565
2459940.4241086883,1.000438,0.0011174993
2459940.425497548,0.99895716,0.0011172015
2459940.4268864077,0.99874055,0.0011165324
2459940.428275267,0.9993057,0.0011162193
2459940.4296641266,1.0012261,0.0011165983
2459940.4310529865,0.9981447,0.001115898
2459940.432441846,0.9976905,0.0011156547
2459940.4338307055,0.9990345,0.0011156275
2459940.435219565,0.9996391,0.0011155624
2459940.436608425,1.0008768,0.0011163553
2459940.4379972843,0.9985853,0.0011153361
2459940.439386144,1.0001752,0.0011157308
2459940.4407750037,0.9987679,0.0011156568
2459940.442163863,0.9996403,0.0011148887
2459940.4435527227,0.999048,0.0011148256
2459940.444941582,0.9982511,0.0011146195
2459940.446330442,0.9979136,0.0011152893
2459940.4477193016,0.9996842,0.0011147177
2459940.449108161,0.99779797,0.0011143457
2459940.450497021,0.9991683,0.0011146445
2459940.4518858804,0.99819034,0.0011139247
2459940.45327474,1.0006145,0.0011140514
2459940.4546636,1.0004698,0.0011142937
2459940.4560524593,0.9982505,0.0011135294
2459940.457441319,1.001757,0.0011143093
2459940.4588301782,0.99941564,0.0011133328
2459940.460219038,1.0002818,0.0011135346
2459940.4616078977,0.9987688,0.001113517
2459940.462996757,1.0002831,0.0011134649
2459940.464385617,1.0003384,0.0011136157
2459940.4657744765,1.0005957,0.0011131102
2459940.467163336,0.99924237,0.0011123846
2459940.468552196,0.9994679,0.0011128853
2459940.4699410554,0.99923193,0.0011123656
2459940.471329915,0.99811023,0.0011121402
2459940.472718775,0.9992577,0.0011119158
2459940.4741076343,1.0004469,0.0011121487
2459940.4754964937,1.0015699,0.0011123638
2459940.4768853537,0.99938256,0.0011113114
2459940.478274213,0.9987308,0.0011114058
2459940.4796630726,1.0010961,0.0011117576
2459940.4810519326,0.9969541,0.0011100856
2459940.482440792,1.0012517,0.0011110362
2459940.4838296515,0.99767566,0.001109936
2459940.4852185114,0.9985939,0.0011107338
2459940.486607371,0.99871266,0.0011102385
2459940.487996231,0.9993254,0.0011098167
2459940.4893850903,0.9985859,0.0011092812
2459940.49077395,0.99796385,0.0011089405
2459940.4921628097,0.9999224,0.0011099759
2459940.493551669,1.000068,0.0011092596
2459940.4949405286,1.0009071,0.0011092919
2459940.4963293886,0.99901265,0.0011083544
2459940.497718248,0.99874073,0.0011084187
2459940.499107108,0.9985801,0.0011088873
2459940.5004959675,1.0001751,0.001108898
2459940.501884827,0.99941516,0.00110866
2459940.503273687,0.9995541,0.0011080679
2459940.5046625463,0.99998,0.0011085427
2459940.5060514063,0.9982042,0.0011083515
2459940.5074402657,0.9995023,0.0011080905
2459940.508829125,0.9992168,0.0011082145
2459940.510217985,1.0001992,0.001108678
2459940.5116068446,0.9988352,0.0011078765
2459940.5129957045,0.9984946,0.0011078136
2459940.514384564,0.99899113,0.001107625
2459940.5157734235,0.99913865,0.0011078906
2459940.5171622834,0.9978064,0.0011070824
2459940.518551143,0.9989089,0.0011076417
2459940.519940003,0.9990607,0.0011071414
2459940.5213288623,0.9992813,0.0011077957
2459940.522717722,1.0003234,0.001108032
2459940.5241065817,0.9969436,0.0011074332
2459940.525495441,0.9995134,0.0011078931
2459940.526884301,0.99998957,0.0011076594
2459940.5282731606,0.9984928,0.0011070158
2459940.5296620205,0.9991396,0.0011077242
2459940.53105088,0.99783224,0.0011075173
2459940.53243974,0.99888,0.0011076562
2459940.5338285994,1.0009061,0.0011083272
2459940.5352174593,1.0020853,0.0011081415
2459940.536606319,1.0006508,0.0011080008
2459940.5379951783,1.0003515,0.00110814
2459940.539384038,0.99770504,0.0011072971
2459940.5407728977,0.99956566,0.001107259
2459940.5421617576,0.99840444,0.001107755
2459940.543550617,1.000696,0.0011079794
2459940.544939477,1.0002314,0.0011079053
2459940.5463283365,1.000093,0.0011077726
2459940.5477171964,0.9994295,0.0011074637
2459940.549106056,1.0015774,0.0011087655
