#time,flux,flux_err
2459100.726961,0.044912330313225,0.0026633667945861797
2459100.733014,0.039594295855857296,0.00269037055969238
2459100.73894,0.046787240457509906,0.00262943387031555
2459100.744669,0.038050349579057605,0.0026177818775177
2459100.750225,0.0338228727314723,0.00260960984230042
2459100.755689,0.033866962805370396,0.0027077682018279998
2459100.76121,0.045237600695747095,0.00279407811164856
2459100.766626,0.07034685066002799,0.00264712023735046
2459100.772182,0.062080143102458796,0.0026565630435943597
2459100.777749,0.06185559725841221,0.00241546630859375
2459100.783212,0.0731354045031229,0.00239891195297241
2459100.788629,0.056903220603371205,0.00264559078216553
2459100.794034,0.0758857597987232,0.00277800917625427
2459100.799508,0.0638369738375038,0.00256012392044067
2459100.805075,0.0576984243711069,0.0026304047107696504
2459100.810862,0.044574384114205896,0.0025569508075714096
2459100.816765,0.0437894782872489,0.00265007090568542
2459100.822795,0.0276224980010979,0.0025353000164032
2459100.828929,0.016041917479285298,0.00253016996383667
2459100.835249,0.00392029381297514,0.0025887582302093503
2459100.841707,-0.0169280737370218,0.0023612732887268104
2459100.847992,-0.0353235757486721,0.00267256736755371
2459100.854057,-0.0329503139001443,0.00284799695014954
2459100.86033,-0.04734608268236,0.00246922254562378
2459100.866649,-0.0693939781147132,0.0026167573928833
2459100.872934,-0.0701889568331347,0.00239008855819702
2459100.879508,-0.081554093941655,0.00261604595184326
2459100.886453,-0.07960239298359591,0.00269059419631958
2459100.893038,-0.0823534918114063,0.0025082750320434602
2459100.900469,-0.0905580396364348,0.00268652606010437
2459100.908698,-0.0797648905681073,0.0025110490322113
2459100.916696,-0.0666426757477592,0.00290324807167053
2459100.924219,-0.046202676078738,0.0028985426425933796
2459100.93173,-0.0545963652157076,0.0030654931068420403
2459100.939091,-0.0581899970321168,0.00310250306129456
2459100.946673,-0.0720877956702851,0.00287525844573975
2459100.954034,-0.0566535242203297,0.00262773537635803
2459100.961418,-0.071149844272994,0.00278896760940552
2459100.968826,-0.06096249886631,0.0028021345138549802
2459100.976153,-0.0591329548699703,0.0028349680900573698
